dataset,classifier,method,gmean,worst_recall,balanced_accuracy,macro_f1,sampling_seconds,train_after,rank
pageblocks-full,rf,removal_objective_only,0.9341812113106773,0.8533217416615088,0.9360852631789177,0.7904631813141411,0.10559278800152243,833.0,5.0
pageblocks-full,rf,uniform_mass,0.9468942829701343,0.8861330117338695,0.948101481686984,0.7634863902195717,0.10519333599833772,833.0,1.0
statlog-landsat,cart,addition_objective_only,0.821524195972871,0.6184050793650794,0.8300373936101529,0.8236132758037933,0.15386159000452607,4954.8,2.0
statlog-landsat,cart,gpmr_full,0.8201693579672832,0.6322590476190476,0.8280964790677391,0.8200586968222363,0.1527186999982223,4954.8,4.0
statlog-landsat,cart,no_capacity,0.8187521550021428,0.6357084987992737,0.8266826140277095,0.8170615523812039,0.10078835000284016,4954.8,5.0
statlog-landsat,cart,removal_objective_only,0.8207940175138425,0.6401003174603175,0.8282533641865019,0.8195162638004554,0.15463266999460756,4954.8,3.0
statlog-landsat,cart,uniform_mass,0.8216267677619016,0.625248253968254,0.8296803225941527,0.8231184690277096,0.15360370999202133,4954.8,1.0
statlog-landsat,knn,addition_objective_only,0.8889394416269107,0.7793815046556638,0.8921404268048947,0.875539973233418,0.15386159000452607,4954.8,1.0
statlog-landsat,knn,gpmr_full,0.8864783580089273,0.7548639193857121,0.8904200923797485,0.8707857352082712,0.1527186999982223,4954.8,2.0
statlog-landsat,knn,no_capacity,0.8819860782470105,0.7387261006358495,0.8867727797374729,0.8646923677261621,0.10078835000284016,4954.8,5.0
statlog-landsat,knn,removal_objective_only,0.8820443953448414,0.7531293661162788,0.8861744064916895,0.866014008253552,0.15463266999460756,4954.8,4.0
statlog-landsat,knn,uniform_mass,0.8860722972394807,0.7821610188548955,0.8891791549040121,0.8735792347652058,0.15360370999202133,4954.8,3.0
statlog-landsat,rf,addition_objective_only,0.894444689713717,0.7226844444444445,0.8994984871409177,0.8960049392514858,0.15386159000452607,4954.8,4.0
statlog-landsat,rf,gpmr_full,0.8964165267284143,0.7463341196257752,0.9007818331764565,0.8938572535084538,0.1527186999982223,4954.8,1.0
statlog-landsat,rf,no_capacity,0.8961866258054747,0.7505719079154841,0.9005327149685247,0.8922670568609888,0.10078835000284016,4954.8,3.0
statlog-landsat,rf,removal_objective_only,0.8962994293132607,0.7445169683590875,0.9006704911524825,0.8939768254800421,0.15463266999460756,4954.8,2.0
statlog-landsat,rf,uniform_mass,0.8938352142210673,0.7221968253968254,0.8988713090642257,0.8954711798791668,0.15360370999202133,4954.8,5.0
thyroid,cart,addition_objective_only,0.9360216659522896,0.8439603673362511,0.942928621304505,0.9158156476725315,0.028388970002997668,819.0,5.0
thyroid,cart,gpmr_full,0.959026866465299,0.8992815060038154,0.961959469569446,0.9166000639157754,0.03823182600317523,819.0,3.0
thyroid,cart,no_capacity,0.9597692657749778,0.9015747390865222,0.9625742527961695,0.9161459126934313,0.027818936000112444,819.0,2.0
thyroid,cart,removal_objective_only,0.9605430821000559,0.9006816481502262,0.9633597675781493,0.9192867991833409,0.02908856999594718,819.0,1.0
thyroid,cart,uniform_mass,0.9484015281478587,0.8772867803837953,0.9539220252122844,0.9239098901244425,0.029003749988041817,819.0,4.0
thyroid,knn,addition_objective_only,0.6286426897026265,0.4783020050125313,0.6701648399605981,0.5218836784843232,0.028388970002997668,819.0,1.0
thyroid,knn,gpmr_full,0.6055595355725331,0.4635964912280701,0.6420801693287946,0.4795159888370467,0.03823182600317523,819.0,3.0
thyroid,knn,no_capacity,0.6034739041897734,0.47067669172932325,0.6416008616067532,0.4792345621655067,0.027818936000112444,819.0,4.0
thyroid,knn,removal_objective_only,0.6015443325583718,0.46985588972431075,0.6468063504532475,0.4841267961589362,0.02908856999594718,819.0,5.0
thyroid,knn,uniform_mass,0.6172644037317462,0.4719047619047619,0.6577028703599795,0.5194640977718111,0.029003749988041817,819.0,2.0
thyroid,rf,addition_objective_only,0.9664948946125146,0.9150806119777054,0.9684907542488062,0.9163844601613682,0.028388970002997668,819.0,3.0
thyroid,rf,gpmr_full,0.9689095595313911,0.9215843713762016,0.9706089228045238,0.9117631025040407,0.03823182600317523,819.0,2.0
thyroid,rf,no_capacity,0.9644521366846989,0.9105203306774399,0.9663706530006608,0.9060562210122955,0.027818936000112444,819.0,5.0
thyroid,rf,removal_objective_only,0.9749539789161513,0.9337652900908989,0.9762216174765271,0.9132802987628302,0.02908856999594718,819.0,1.0
thyroid,rf,uniform_mass,0.966453890419112,0.9147532076459807,0.9686005436476763,0.9182454815057595,0.029003749988041817,819.0,4.0
vehicle,cart,addition_objective_only,0.6783782735019936,0.4732341689318434,0.7082063430755291,0.7062191842547568,0.022385846006218343,684.8,2.0
vehicle,cart,gpmr_full,0.6768781177446341,0.4687823416893184,0.7069464498679615,0.7052583141756759,0.022210495995823296,684.8,3.0
vehicle,cart,no_capacity,0.6754343728312575,0.4688145575354878,0.7052326849507082,0.7037622486047745,0.022051690008956938,684.8,5.0
vehicle,cart,removal_objective_only,0.6766636455706962,0.4808693244739757,0.7043329635480798,0.7034355883050778,0.022460930002853274,684.8,4.0
vehicle,cart,uniform_mass,0.6875627770128108,0.4838558340883922,0.7150003262241634,0.7130756992020779,0.022550990004092455,684.8,1.0
vehicle,knn,addition_objective_only,0.6782102333266554,0.4466631430584919,0.7160112048803908,0.7090605682845866,0.022385846006218343,684.8,3.0
vehicle,knn,gpmr_full,0.6788510517640257,0.4490979563072586,0.7173139263836938,0.7100226307941381,0.022210495995823296,684.8,1.0
vehicle,knn,no_capacity,0.6786850337490882,0.4490979563072586,0.7169589064036738,0.7097028571911601,0.022051690008956938,684.8,2.0
vehicle,knn,removal_objective_only,0.676948204771942,0.4481787979462398,0.714454557070836,0.7077192140916986,0.022460930002853274,684.8,4.0
vehicle,knn,uniform_mass,0.6761548052438515,0.4484913923286016,0.7126539961976008,0.7061412599447832,0.022550990004092455,684.8,5.0
vehicle,rf,addition_objective_only,0.7168356554432498,0.47983741065136415,0.7549767887151608,0.7462800082363151,0.022385846006218343,684.8,2.0
vehicle,rf,gpmr_full,0.7162094894160318,0.48557535487768044,0.7542824617243222,0.7451850697848066,0.022210495995823296,684.8,5.0
vehicle,rf,no_capacity,0.7167401500159373,0.4878309674821303,0.7545509606672397,0.7456283755167368,0.022051690008956938,684.8,4.0
vehicle,rf,removal_objective_only,0.7168165846844624,0.48802275244135707,0.7545308383476989,0.7459322512261144,0.022460930002853274,684.8,3.0
vehicle,rf,uniform_mass,0.7171021602319168,0.480609080841639,0.7551191841104632,0.7462944720217877,0.022550990004092455,684.8,1.0
wine,cart,addition_objective_only,0.9158424154572221,0.8396334776334775,0.9188369408369408,0.9180726867535537,0.00409684399375692,141.6,5.0
wine,cart,gpmr_full,0.9258553726239169,0.8613290043290043,0.927942760942761,0.9259404203338132,0.0037770459963940082,141.6,3.0
wine,cart,no_capacity,0.9271884888117906,0.8616695526695527,0.9292626262626262,0.927012791248993,0.0036382919922471045,141.6,2.0
wine,cart,removal_objective_only,0.9285462199186948,0.8633535353535353,0.9306835016835017,0.9286817512949481,0.004010946017224341,141.6,1.0
wine,cart,uniform_mass,0.9240586885014623,0.8534834054834054,0.9267522847522848,0.926438963562152,0.004130211994051934,141.6,4.0
wine,knn,addition_objective_only,0.9538299150204419,0.8726349206349207,0.9570687830687831,0.9498315443544751,0.00409684399375692,141.6,5.0
