dataset,classifier,method,gmean,gmean_std,worst_recall,balanced_accuracy,macro_f1,rank
hayes-roth,rf,mc_ccr,0.8556811780019301,0.058043836958418,0.698076923076923,0.8685042735042735,0.8665123385822882,1.0
hayes-roth,rf,mdo,0.8292795908981367,0.0691795706591303,0.6851282051282052,0.8424786324786325,0.8404294873459937,4.0
hayes-roth,rf,none,0.8354205515560829,0.0630192615902699,0.6905128205128206,0.8482051282051282,0.8463039801345584,3.0
hayes-roth,rf,ros,0.828234152921596,0.0659602946167807,0.6833333333333332,0.8414957264957265,0.8397130320575243,7.0
hayes-roth,rf,rus,0.8218732963505215,0.0626321768948197,0.6842307692307692,0.8351282051282051,0.8335661953611664,12.0
hayes-roth,rf,smote,0.8282502584634703,0.0661727514267891,0.6835897435897437,0.8414957264957265,0.8397352493538045,6.0
hayes-roth,rf,soup,0.758520271241655,0.0940673401094265,0.5747435897435897,0.7857692307692308,0.7815075166427904,14.0
led7digit,cart,allknn,0.3952895625049689,0.315728890678639,0.2116363636363636,0.6415480519480519,0.6241126411739704,14.0
led7digit,cart,borderline_smote,0.6803980606137912,0.0456799520076951,0.4099090909090909,0.7034858585858587,0.6969000862678959,2.0
led7digit,cart,global_cs,0.670797232111332,0.0429291164689722,0.4020707070707071,0.6936433621933622,0.6859572255934563,10.0
led7digit,cart,gmm_sampling,0.6768349521870485,0.0492359457644102,0.4206262626262626,0.6982991341991343,0.6917427736751428,5.0
led7digit,cart,gpmr_v3,0.6813041283449864,0.0467351677135639,0.4109797979797979,0.7038566378066378,0.6971844270399029,1.0
led7digit,cart,kde_reconstructed,0.6765916907466577,0.0481168446240789,0.4061111111111111,0.6996622655122655,0.6932822593656018,7.0
led7digit,cart,mc_ccr,0.6266602249910496,0.1403175831583831,0.3283030303030302,0.6845232323232324,0.6708786357403069,12.0
led7digit,cart,mdo,0.6768075310258901,0.0483020081113994,0.4073838383838384,0.7000424242424242,0.6934993495907559,6.0
led7digit,cart,none,0.6770586846315776,0.0482489225856734,0.406050505050505,0.6999971139971141,0.6933464660094935,4.0
led7digit,cart,ros,0.6712553123000875,0.0470301588909195,0.404060606060606,0.6944621212121211,0.6871518259656219,8.0
led7digit,cart,rus,0.6619054028563844,0.0446591557963707,0.4038383838383838,0.6852267676767677,0.6775482454105821,11.0
led7digit,cart,smote,0.6800288197201597,0.0474066180601571,0.4125555555555555,0.7026531746031747,0.6960831938037845,3.0
led7digit,cart,soup,0.6712268345620616,0.045709369236216,0.4034949494949494,0.6941540404040404,0.6872198893080488,9.0
led7digit,knn,allknn,0.2780363621547229,0.3085087275824959,0.1071414141414141,0.6282554112554112,0.594272678171454,13.0
led7digit,knn,borderline_smote,0.6686663459480799,0.0539828684637347,0.4023939393939394,0.693937950937951,0.6863048823023887,3.0
led7digit,knn,global_cs,0.6131091111163753,0.165440540307308,0.323997113997114,0.6809582251082251,0.6716525901701819,9.0
led7digit,knn,gmm_sampling,0.5408102862881162,0.2601641075267878,0.3024949494949495,0.6834318181818182,0.6692953753333494,10.0
led7digit,knn,gpmr_v3,0.6769727911924062,0.051256250724832,0.4243737373737374,0.6989643578643578,0.6918951700798854,1.0
led7digit,knn,kde_reconstructed,0.6697873597755017,0.0500093282499562,0.4029393939393939,0.6941246031746031,0.6869433990596618,2.0
led7digit,knn,mc_ccr,0.2221437115152497,0.2652656132932631,0.0663571428571428,0.602029797979798,0.5805455841745925,14.0
led7digit,knn,mdo,0.6686020612667094,0.0504078826933942,0.4017070707070707,0.6918953823953824,0.6859777554127194,4.0
led7digit,knn,none,0.6591253561628265,0.0550253187602921,0.391989898989899,0.6847791486291486,0.6794632636613024,6.0
led7digit,knn,ros,0.6584149197369246,0.049707388539658,0.395060606060606,0.6830609668109667,0.6765091961930473,7.0
led7digit,knn,rus,0.0574813667990428,0.1574748430417309,0.0136363636363636,0.6103860028860029,0.5603096847192215,15.0
led7digit,knn,smote,0.6668324808588609,0.0507586882781521,0.3983131313131313,0.6907183261183261,0.684227180849996,5.0
led7digit,knn,soup,0.6411548150846713,0.1411869127053646,0.3726868686868687,0.6938015151515151,0.6862106237659243,8.0
led7digit,rf,allknn,0.4302070399723193,0.3162068226720775,0.2372626262626262,0.6673746031746032,0.6455960109777277,14.0
